id,title,release_date,filename,cover_path,streams,top_song_1,top_song_2,top_song_3,artist,primary_type,secondary_types
4aaaa715-df17-43b8-987e-04b54ec4a697,Views,2016-04-29,views.jpg,data/covers/views.jpg,12837907413,One Dance,Hotline Bling,Too Good,Drake,Album,NA
857db798-5c31-4d5f-991a-6667f41d8899,Scorpion,2018-06-29,scorpion.jpg,data/covers/scorpion.jpg,12251315902,God's Plan,In My Feelings,Nice For What,Drake,Album,NA
d039390b-2452-4a5c-9b2b-32e5e80f15e0,More Life,2017-03-18,more_life.jpg,data/covers/more_life.jpg,9222745132,Passionfruit,Teenage Fever,Fake Love,Drake,Album,NA
47809021-4515-4215-beea-db3f5dfb6267,Take Care,2011-11-14,take_care.jpg,data/covers/take_care.jpg,7697813906,Headlines,Take Care,Marvins Room,Drake,Album,NA
5c2e6a17-dc0b-42bc-8fcb-a60770505e37,Certified Lover Boy,2021-09-03,certified_lover_boy.jpg,data/covers/certified_lover_boy.jpg,7523894525,Fair Trade (with Travis Scott),Knife Talk (with 21 Savage ft. Project Pat),Way 2 Sexy (with Future & Young Thug),Drake,Album,NA
0b6c2da8-ac60-4663-beae-bd3dc6dea94a,Nothing Was the Same,2013-09-19,nothing_was_the_same.jpg,data/covers/nothing_was_the_same.jpg,5235952991,"Hold On, We're Going Home",From Time,Started From the Bottom,Drake,Album,NA
bb944494-b3e7-4be2-952e-171a1743868e,Dark Lane Demo Tapes,2020-05-01,dark_lane_demo_tapes.jpg,data/covers/dark_lane_demo_tapes.jpg,4621136848,Toosie Slide,Chicago Freestyle (feat. Giveon),Not You Too (feat. Chris Brown),Drake,Album,NA
a1552752-3b43-43b7-aeef-1f282360c993,For All the Dogs,2023-10-06,for_all_the_dogs.jpg,data/covers/for_all_the_dogs.jpg,4433747627,Rich Baby Daddy (feat. Sexyy Red & SZA),IDGAF (feat. Yeat),First Person Shooter (feat. J. Cole),Drake,Album,NA
81463cd8-2608-41d7-9112-acf9981dd054,Her Loss,2022-11-04,her_loss.jpg,data/covers/her_loss.jpg,4322263470,Rich Flex,Spin Bout U,Pussy & Millions (feat. Travis Scott),Drake,Album,NA
68d79778-aceb-486c-88a7-0abb3665344b,If You’re Reading This It’s Too Late,2015-02-12,if_you_re_reading_this_it_s_too_late.jpg,data/covers/if_you_re_reading_this_it_s_too_late.jpg,4071793232,Energy,Jungle,Know Yourself,Drake,Album,NA
7c0efd43-6023-400d-8d5c-d808b1cb4094,Thank Me Later,2010-06-14,thank_me_later.jpg,data/covers/thank_me_later.jpg,3242193050,Fancy,Over,Up All Night,Drake,Album,NA
26d2e1f2-a76e-46ff-a2b5-b4200ac883d5,"Honestly, Nevermind",2022-06-17,honestly_nevermind.jpg,data/covers/honestly_nevermind.jpg,3221470864,Jimmy Cooks (feat. 21 Savage),Massive,Sticky,Drake,Album,NA
